  Time[s]  W_orig[kg]  W_clean[kg]  W_interp[kg]  Disch[l/s]
    0   95.01   95.01   95.01    0.05
   10   89.84   89.84   89.84    0.01
   20   89.68   89.68   89.68   -0.01
   30   90.42 -999.00   89.96    0.06
   40   90.23   90.23   90.23    0.18
   50   90.29   90.29   90.29    0.26
   60   90.31   90.31   90.31    0.28
   70   90.53   90.53   90.53    0.34
   80   90.65   90.65   90.65    0.37
   90   90.45   90.45   90.45    0.44
  100   91.14 -999.00   90.52    0.45
  110   90.58   90.58   90.58    0.44
  121   91.00 -999.00   90.49    0.47
  131   90.41   90.41   90.41    0.57
  141   90.77   90.77   90.77    0.65
  151   90.66   90.66   90.66    0.71
  161   90.37   90.37   90.37    0.80
  171   91.29 -999.00   90.37    0.83
  181   90.37   90.37   90.37    0.88
  191   90.95 -999.00   90.53    0.90
  201   90.69   90.69   90.69    0.89
  211   90.90   90.90   90.90    0.95
  221   90.92   90.92   90.92    0.96
  231   90.79   90.79   90.79    0.97
  241   90.58   90.58   90.58    0.96
  251   90.81   90.81   90.81    0.95
  261   91.19   91.19   91.19    0.96
  271   91.14   91.14   91.14    0.97
  281   91.51   91.51   91.51    1.02
  291   92.48 -999.00   91.54    1.03
  301   91.56   91.56   91.56    1.02
  311   91.22   91.22   91.22    1.58
  322   91.30   91.30   91.30    1.51
  332   91.10   91.10   91.10    1.37
  342   91.51 -999.00   91.18    1.28
  352   91.26   91.26   91.26    1.22
  362   91.56 -999.00   91.30    1.18
  372   91.34   91.34   91.34    1.15
  382   91.42   91.42   91.42    1.13
  392   91.42   91.42   91.42    1.09
  407   92.06   92.06   92.06    1.09
  418   91.96   91.96   91.96    1.08
  428   92.04   92.04   92.04    1.09
  438   91.79   91.79   91.79    1.09
  448   91.74   91.74   91.74    1.09
  458   91.75   91.75   91.75    1.08
  468   91.72   91.72   91.72    1.08
  478   91.85 -999.00   91.72    1.08
  488   91.72   91.72   91.72    1.08
  498   92.04   92.04   92.04    1.09
  508   92.83 -999.00   92.17    1.08
  519   92.32   92.32   92.32    1.09
  529   92.14   92.14   92.14    1.09
  539   92.22   92.22   92.22    1.08
  549   92.51   92.51   92.51    1.09
  559   92.85 -999.00   92.25    1.09
  569   92.00   92.00   92.00    1.08
  580   92.00   92.00   92.00    1.09
  590   91.98   91.98   91.98    1.08
  600   92.11 -999.00   91.98    1.09
  610   91.98   91.98   91.98    1.08
  620   92.08   92.08   92.08    1.09
  630   92.03   92.03   92.03    1.08
  640   91.93   91.93   91.93    1.08
  650   92.09   92.09   92.09    1.08
  660   94.95 -999.00   92.05    1.08
  670   92.01   92.01   92.01    1.08
  680   93.02 -999.00   92.15    1.08
  690   92.28   92.28   92.28    1.09
  700   92.12   92.12   92.12    1.08
  710   92.16   92.16   92.16    1.08
  721   92.27   92.27   92.27    1.09
  731   92.38   92.38   92.38    1.09
  741   92.54   92.54   92.54    1.08
  751   92.57   92.57   92.57    1.09
  761   92.14   92.14   92.14    1.09
  771   92.20   92.20   92.20    1.09
  781   92.43   92.43   92.43    1.09
  791   92.38   92.38   92.38    1.08
  801   94.68 -999.00   92.30    1.08
  811   92.22   92.22   92.22    1.10
  821   92.27   92.27   92.27    1.08
  831   92.19   92.19   92.19    1.08
  841   91.95   91.95   91.95    1.08
  851   92.17 -999.00   91.94    1.08
  861   91.93   91.93   91.93    1.08
  871   91.72   91.72   91.72    1.09
  881   91.88   91.88   91.88    1.09
  892   92.20 -999.00   91.93    1.09
  902   91.98   91.98   91.98    1.08
  912   93.14 -999.00   92.09    1.08
  922   92.20   92.20   92.20    1.08
  932   92.14   92.14   92.14    1.08
  942   94.28 -999.00   92.09    1.08
  952   92.04   92.04   92.04    1.08
  962   92.25 -999.00   92.08    1.08
  972   92.11   92.11   92.11    1.08
  987   92.77 -999.00   92.15    1.08
  998   92.19   92.19   92.19    1.09
 1008   92.14   92.14   92.14    1.09
 1018   93.22 -999.00   92.40    1.08
 1028   92.67   92.67   92.67    1.08
 1038   92.41   92.41   92.41    1.10
 1048   92.27   92.27   92.27    1.08
 1058   92.25   92.25   92.25    1.09
 1068   92.32   92.32   92.32    1.08
 1079   92.56   92.56   92.56    1.10
 1089   93.75 -999.00   92.41    1.07
 1099   92.27   92.27   92.27    1.08
 1109   92.43 -999.00   92.23    1.10
 1119   92.19   92.19   92.19    1.09
 1129   92.28   92.28   92.28    1.08
