  Time[s]  W_orig[kg]  W_clean[kg]  W_interp[kg]  Disch[l/s]
    0  104.80  104.80  104.80    0.06
   10   99.53   99.53   99.53    0.07
   20  100.28  100.28  100.28    0.03
   30  101.66 -999.00  100.65    0.25
   40  101.02  101.02  101.02    0.34
   50  101.02  101.02  101.02    0.38
   60  101.12  101.12  101.12    0.46
   70  101.05  101.05  101.05    0.45
   80  101.26  101.26  101.26    0.53
   90  101.34  101.34  101.34    0.52
  100  101.23  101.23  101.23    0.52
  110  101.42  101.42  101.42    0.53
  121  103.00 -999.00  101.47    0.53
  131  101.52  101.52  101.52    0.64
  141  101.55  101.55  101.55    0.71
  151  103.83 -999.00  101.54    0.78
  161  101.52  101.52  101.52    0.83
  171  101.52  101.52  101.52    0.87
  181  101.49  101.49  101.49    0.90
  191  101.55  101.55  101.55    0.90
  201  101.70  101.70  101.70    0.97
  211  102.26 -999.00  101.62    0.96
  221  101.54  101.54  101.54    0.96
  231  101.33  101.33  101.33    0.97
  241  101.94  101.94  101.94    0.96
  251  103.30 -999.00  101.65    0.96
  261  101.36  101.36  101.36    0.99
  271  101.13  101.13  101.13    1.03
  281  101.31 -999.00  101.14    1.03
  291  101.15  101.15  101.15    1.03
  301  101.29  101.29  101.29    1.04
  311  101.23  101.23  101.23    1.04
  321  101.28  101.28  101.28    1.03
  331  101.34  101.34  101.34    1.04
  341  101.18  101.18  101.18    1.04
  351  101.23  101.23  101.23    1.03
  361  101.41  101.41  101.41    1.03
  371  101.42  101.42  101.42    1.03
  381  101.25  101.25  101.25    1.04
  391  101.20  101.20  101.20    1.03
  401  101.20  101.20  101.20    1.03
  411  101.31  101.31  101.31    1.04
  421  101.33  101.33  101.33    1.04
  432  101.23  101.23  101.23    1.03
  442  101.28  101.28  101.28    1.03
  452  101.23  101.23  101.23    1.03
  462  101.23  101.23  101.23    1.03
  472  102.66 -999.00  101.33    1.04
  482  101.44  101.44  101.44    1.03
  492  101.37  101.37  101.37    1.04
  502  101.41  101.41  101.41    1.04
  512  101.34  101.34  101.34    1.04
  522  101.45  101.45  101.45    1.04
  532  101.23  101.23  101.23    1.03
  542  101.55 -999.00  101.23    1.03
  552  101.23  101.23  101.23    1.04
  562  101.37  101.37  101.37    1.03
  572  103.00 -999.00  101.46    1.03
  582  101.55  101.55  101.55    1.05
