  Time[s]  W_orig[kg]  W_clean[kg]  W_interp[kg]  Disch[l/s]
    0  105.97  105.97  105.97    0.09
   11  101.60  101.60  101.60    0.02
   21  102.42 -999.00  101.59    0.02
   31  101.58  101.58  101.58    0.25
   41  101.63  101.63  101.63    0.33
   51  101.62  101.62  101.62    0.43
   61  101.62  101.62  101.62    0.48
   71  101.79  101.79  101.79    0.53
   81  101.86 -999.00  101.78    0.53
   91  101.78  101.78  101.78    0.53
  101  101.63  101.63  101.63    0.52
  111  101.68  101.68  101.68    0.53
  121  101.65  101.65  101.65    0.52
  131  101.81 -999.00  101.66    0.66
  141  101.68  101.68  101.68    0.71
  151  101.86 -999.00  101.74    0.78
  161  101.79  101.79  101.79    0.84
  171  102.29 -999.00  101.77    0.86
  181  101.74  101.74  101.74    0.91
  191  101.78  101.78  101.78    0.91
  201  103.82 -999.00  102.47    0.97
  211  103.17  103.17  103.17    0.99
  221  101.86  101.86  101.86    0.97
  232  101.84  101.84  101.84    0.97
  242  102.02 -999.00  101.83    0.97
  252  101.82  101.82  101.82    0.98
  262  101.76  101.76  101.76    0.98
  272  101.66  101.66  101.66    1.04
  282  101.41  101.41  101.41    1.03
  292  101.63  101.63  101.63    1.04
  302  101.79  101.79  101.79    1.03
  312  101.87  101.87  101.87    1.04
  322  101.87  101.87  101.87    1.03
  332  101.97  101.97  101.97    1.04
  342  102.07  102.07  102.07    1.03
  352  102.10  102.10  102.10    1.03
  362  102.00  102.00  102.00    1.04
  372  103.93 -999.00  102.15    1.03
  382  102.31  102.31  102.31    1.04
  392  102.27  102.27  102.27    1.04
  402  102.61  102.61  102.61    1.03
  412  102.87 -999.00  102.57    1.03
  422  102.53  102.53  102.53    1.03
  432  102.42  102.42  102.42    1.04
  442  102.45  102.45  102.45    1.04
  452  103.70 -999.00  102.51    1.03
  462  102.56  102.56  102.56    1.04
  472  102.56  102.56  102.56    1.03
  482  103.69 -999.00  102.56    1.03
  492  102.55  102.55  102.55    1.04
  507  102.58  102.58  102.58    1.03
  518  102.61  102.61  102.61    1.04
  528  102.61  102.61  102.61    1.03
  538  102.55  102.55  102.55    1.03
  548  102.58  102.58  102.58    1.03
  558  102.98 -999.00  102.65    1.03
  569  102.72  102.72  102.72    1.03
  579  102.61  102.61  102.61    1.04
  589  102.82 -999.00  102.60    1.03
  599  102.60  102.60  102.60    1.04
  609  104.55 -999.00  102.59    1.04
  619  102.58  102.58  102.58    1.03
  629  102.63  102.63  102.63    1.04
  639  102.71 -999.00  102.64    1.03
  649  102.64  102.64  102.64    1.03
  659  102.72  102.72  102.72    1.03
  669  102.71  102.71  102.71    1.05
  679  102.72  102.72  102.72    1.03
  690  102.63  102.63  102.63    1.04
  700  102.56  102.56  102.56    1.03
  710  103.38 -999.00  102.68    1.06
  720  102.80  102.80  102.80    1.04
  730  102.69  102.69  102.69    1.03
  740  103.66  103.66  103.66    1.06
  750  105.37 -999.00  103.13    1.03
  760  102.61  102.61  102.61    1.04
  770  102.71  102.71  102.71    1.04
  780  102.79  102.79  102.79    1.04
  790  102.84  102.84  102.84    1.03
  800  102.82  102.82  102.82    1.03
  810  102.71  102.71  102.71    1.03
  820  102.74  102.74  102.74    1.03
  830  103.00 -999.00  102.71    1.04
  840  102.68  102.68  102.68    1.03
  850  105.28 -999.00  102.74    1.03
  860  102.80  102.80  102.80    1.03
  870  102.76  102.76  102.76    1.03
  880  102.76  102.76  102.76    1.04
  890  102.82 -999.00  102.73    1.04
  900  102.71  102.71  102.71    1.04
  910  102.79  102.79  102.79    1.03
  921  102.98 -999.00  102.78    1.03
  931  102.77  102.77  102.77    1.04
  941  102.90  102.90  102.90    1.03
  951  103.04 -999.00  102.87    1.04
  961  102.84  102.84  102.84    1.04
  971  102.77  102.77  102.77    1.03
  981  102.84  102.84  102.84    1.03
  991  102.82  102.82  102.82    1.04
 1001  102.74  102.74  102.74    1.04
 1011  102.76  102.76  102.76    1.04
 1021  103.22 -999.00  102.79    1.03
 1031  102.82  102.82  102.82    1.03
 1041  103.88 -999.00  102.85    1.03
 1051  102.88  102.88  102.88    1.04
 1062  102.84  102.84  102.84    1.03
 1072  102.96 -999.00  102.85    1.03
 1082  102.87  102.87  102.87    1.04
 1092  102.79  102.79  102.79    1.04
 1102  102.77  102.77  102.77    1.03
 1112  102.84  102.84  102.84    1.03
 1122  102.84  102.84  102.84    1.04
 1132  102.80  102.80  102.80    1.03
 1142  102.85  102.85  102.85    1.03
 1152  102.90  102.90  102.90    1.04
 1162  103.14  103.14  103.14    1.05
 1177  103.06  103.06  103.06    1.03
 1188  102.77  102.77  102.77    1.03
 1198  103.11 -999.00  102.80    1.06
 1209  102.84  102.84  102.84    1.03
 1219  102.93 -999.00  102.80    1.04
 1229  102.77  102.77  102.77    1.03
 1239  103.08 -999.00  102.80    1.03
 1249  102.82  102.82  102.82    1.03
 1259  102.88  102.88  102.88    1.04
 1269  102.87  102.87  102.87    1.05
 1279  102.85  102.85  102.85    1.03
 1289  102.92 -999.00  102.84    1.04
 1299  102.82  102.82  102.82    1.03
 1309  103.08 -999.00  102.76    1.05
 1319  102.71  102.71  102.71    1.03
 1329  102.85  102.85  102.85    1.04
 1339  102.87  102.87  102.87    1.03
 1349  102.84  102.84  102.84    1.03
 1359  102.85  102.85  102.85    1.03
 1369  103.27 -999.00  102.96    1.03
 1379  103.06  103.06  103.06    1.03
 1389  103.08  103.08  103.08    1.04
 1399  103.01  103.01  103.01    1.03
 1409  103.08 -999.00  103.01    1.03
 1419  103.01  103.01  103.01    1.03
 1429  103.46 -999.00  103.05    1.03
 1439  103.09  103.09  103.09    1.03
 1449  102.92  102.92  102.92    1.03
 1459  103.01 -999.00  102.93    1.04
 1469  102.95  102.95  102.95    1.04
 1479  103.08  103.08  103.08    1.03
 1489  103.17  103.17  103.17    1.03
 1499  103.16  103.16  103.16    1.03
 1509  103.06  103.06  103.06    1.04
 1519  103.16 -999.00  103.02    1.04
 1530  102.98  102.98  102.98    1.04
 1540  103.03  103.03  103.03    1.04
 1550  103.13  103.13  103.13    1.03
 1560  103.09  103.09  103.09    1.04
 1570  103.54 -999.00  103.13    1.03
 1580  103.17  103.17  103.17    1.03
 1590  103.06  103.06  103.06    1.04
 1600  103.70 -999.00  103.08    1.03
 1610  103.11  103.11  103.11    1.03
 1620  103.14  103.14  103.14    1.03
 1630  103.38 -999.00  103.14    1.03
 1640  103.14  103.14  103.14    1.03
 1650  105.20 -999.00  103.21    1.04
 1660  103.27  103.27  103.27    1.03
 1670  103.17  103.17  103.17    1.03
 1681  103.00  103.00  103.00    1.05
