  Time[s]  W_orig[kg]  W_clean[kg]  W_interp[kg]  Disch[l/s]
    0   94.20   94.20   94.20    0.06
   12   88.99   88.99   88.99    0.00
   23   89.15   89.15   89.15    0.16
   33   89.28   89.28   89.28    0.30
   43   90.85 -999.00   89.41    0.35
   53   89.54   89.54   89.54    0.37
   63   89.41   89.41   89.41    0.43
   73   89.47   89.47   89.47    0.44
   83   91.51 -999.00   89.51    0.43
   93   89.54   89.54   89.54    0.44
  104   89.63 -999.00   89.39    0.50
  114   89.25   89.25   89.25    0.50
  124   90.02 -999.00   89.22    0.52
  134   89.18   89.18   89.18    0.61
  144   89.96 -999.00   89.23    0.70
  154   89.28   89.28   89.28    0.77
  164   89.54   89.54   89.54    0.86
  174   90.07   90.07   90.07    1.10
  184   90.13 -999.00   89.71    1.08
  194   89.35   89.35   89.35    1.08
  204   89.63   89.63   89.63    1.09
  214   92.24 -999.00   89.63    1.08
  224   89.62   89.62   89.62    1.08
  234   89.36   89.36   89.36    1.09
  244   90.02 -999.00   89.49    1.10
  254   89.62   89.62   89.62    1.09
  264   90.00 -999.00   89.71    1.08
  274   89.81   89.81   89.81    1.08
  284   89.81   89.81   89.81    1.08
  294   90.04 -999.00   89.73    1.08
  305   89.63   89.63   89.63    1.08
  315   89.97 -999.00   89.71    1.08
  325   89.78   89.78   89.78    1.08
  335   89.57   89.57   89.57    1.08
  345   90.24 -999.00   89.61    1.08
  355   89.65   89.65   89.65    1.09
  365   89.83 -999.00   89.56    1.08
  375   89.47   89.47   89.47    1.08
  385   89.67   89.67   89.67    1.08
  395   89.65   89.65   89.65    1.09
  405   89.84 -999.00   89.73    1.09
  415   89.81   89.81   89.81    1.08
  425   89.52   89.52   89.52    1.09
  435   89.68   89.68   89.68    1.08
  445   89.84 -999.00   89.72    1.08
  456   89.76   89.76   89.76    1.09
  466   89.97 -999.00   89.69    1.08
  476   89.62   89.62   89.62    1.08
  486   90.32 -999.00   89.75    1.08
  496   89.88   89.88   89.88    1.08
  506   90.05 -999.00   89.85    1.08
  516   89.83   89.83   89.83    1.08
  526   89.65   89.65   89.65    1.08
  536   89.59   89.59   89.59    1.08
  546   89.99 -999.00   89.67    1.08
  556   89.75   89.75   89.75    1.08
  566   89.83 -999.00   89.71    1.07
  576   89.67   89.67   89.67    1.08
  586   89.75   89.75   89.75    1.08
  596   91.14 -999.00   89.70    1.09
  606   89.65   89.65   89.65    1.08
  616   89.96 -999.00   89.71    1.07
  626   89.76   89.76   89.76    1.08
  636   89.46   89.46   89.46    1.08
  647   89.89 -999.00   89.58    1.08
  657   89.70   89.70   89.70    1.08
  667   89.70   89.70   89.70    1.08
  677   89.79   89.79   89.79    1.07
  687   91.35 -999.00   89.98    1.09
  697   90.16   90.16   90.16    1.07
  707   90.26   90.26   90.26    1.08
  717   90.45 -999.00   90.24    1.09
  727   90.21   90.21   90.21    1.07
  737   90.15   90.15   90.15    1.08
  747   90.20 -999.00   90.10    1.08
