  Time[s]  W_orig[kg]  W_clean[kg]  W_interp[kg]  Disch[l/s]
    0   98.79   98.79   98.79    0.04
   11   93.50   93.50   93.50    0.03
   22   93.81   93.81   93.81    0.11
   32   94.58 -999.00   93.70    0.28
   42   93.59   93.59   93.59    0.35
   52   93.62   93.62   93.62    0.42
   62   93.75   93.75   93.75    0.47
   72   93.79 -999.00   93.71    0.49
   82   93.67   93.67   93.67    0.49
   92   93.71   93.71   93.71    0.49
  102   93.83 -999.00   93.62    0.49
  112   93.52   93.52   93.52    0.48
  122   94.74   94.74   94.74    0.52
  132   95.42 -999.00   94.12    0.63
  142   93.49   93.49   93.49    0.73
  152   93.60   93.60   93.60    0.80
  162   93.65 -999.00   93.62    0.82
  172   93.63   93.63   93.63    0.87
  182   93.49   93.49   93.49    0.87
  192   93.28   93.28   93.28    0.93
  202   93.62   93.62   93.62    0.93
  212   93.70 -999.00   93.54    0.93
  222   93.46   93.46   93.46    1.00
  232   93.89 -999.00   93.58    1.00
  242   93.70   93.70   93.70    1.00
  253   93.78 -999.00   93.61    1.00
  263   93.54   93.54   93.54    1.00
  273   93.50   93.50   93.50    1.00
  283   93.59   93.59   93.59    0.99
  293   93.60   93.60   93.60    1.01
  303   93.62   93.62   93.62    0.99
  313   94.47 -999.00   93.53    0.99
  323   93.44   93.44   93.44    1.00
  334   93.54   93.54   93.54    1.00
  344   93.70 -999.00   93.59    1.00
  354   93.63   93.63   93.63    1.00
  364   93.50   93.50   93.50    1.00
  374   93.54   93.54   93.54    1.01
  384   93.68   93.68   93.68    1.00
  394   93.86   93.86   93.86    1.00
  404   96.32 -999.00   93.86    0.99
  414   93.86   93.86   93.86    1.00
  424   93.63   93.63   93.63    1.00
  434   93.83 -999.00   93.66    1.00
  445   93.68   93.68   93.68    1.00
  455   93.99 -999.00   93.78    0.99
  465   93.87   93.87   93.87    0.99
  475   94.16   94.16   94.16    1.02
  485   94.16   94.16   94.16    0.99
  495   94.18 -999.00   94.04    1.00
  505   93.92   93.92   93.92    1.00
  515   93.87   93.87   93.87    1.00
  525   93.73   93.73   93.73    1.00
  535   95.77 -999.00   93.63    1.01
  545   93.52   93.52   93.52    1.00
  555   93.63   93.63   93.63    1.00
  565   93.68   93.68   93.68    1.00
  575   93.86 -999.00   93.59    0.99
  585   93.49   93.49   93.49    0.99
  595   93.36   93.36   93.36    0.99
  605   93.55   93.55   93.55    1.00
  615   93.65   93.65   93.65    0.99
  625   93.71 -999.00   93.61    1.00
  635   93.57   93.57   93.57    1.00
  645   93.44   93.44   93.44    1.00
  655   93.55   93.55   93.55    1.00
  665   94.12   94.12   94.12    0.99
  675   96.28 -999.00   94.05    1.00
  686   93.99   93.99   93.99    1.00
  696   94.24   94.24   94.24    1.00
  706   94.24   94.24   94.24    0.99
  716   94.50 -999.00   94.17    1.00
  726   94.10   94.10   94.10    0.99
  736   94.00   94.00   94.00    0.99
  746   94.03 -999.00   93.87    0.99
  756   93.73   93.73   93.73    0.99
  766   93.78 -999.00   93.75    0.99
  776   93.76   93.76   93.76    1.00
  786   93.79   93.79   93.79    1.00
  796   94.07 -999.00   93.76    1.00
  806   93.73   93.73   93.73    0.99
  816   93.78 -999.00   93.74    0.99
  831   93.75   93.75   93.75    1.00
  842   93.87   93.87   93.87    1.00
  852   94.29 -999.00   93.80    0.99
  862   93.73   93.73   93.73    1.00
  872   93.83 -999.00   93.74    1.00
  882   93.75   93.75   93.75    1.00
  892   94.02 -999.00   93.83    1.00
  902   93.92   93.92   93.92    1.00
  912   94.18 -999.00   93.86    1.00
  922   93.79   93.79   93.79    1.00
  932   93.76   93.76   93.76    0.99
  942   93.71   93.71   93.71    1.01
  952   94.13 -999.00   93.79    1.06
  962   93.87   93.87   93.87    1.06
  972   93.99 -999.00   93.79    1.06
  982   93.71   93.71   93.71    1.06
  993   93.55   93.55   93.55    1.06
 1003   93.89 -999.00   93.55    1.06
 1013   93.55   93.55   93.55    1.06
 1023   93.79   93.79   93.79    1.06
 1033   95.95 -999.00   93.87    1.06
 1043   93.94   93.94   93.94    1.06
 1053   93.71   93.71   93.71    1.06
 1063   93.91 -999.00   93.80    1.06
 1073   93.89   93.89   93.89    1.06
 1083   93.71   93.71   93.71    1.06
 1093   93.83 -999.00   93.71    1.06
 1103   93.70   93.70   93.70    1.06
 1113   93.84 -999.00   93.75    1.06
 1124   93.81   93.81   93.81    1.06
 1134   95.75 -999.00   93.78    1.07
 1144   93.75   93.75   93.75    1.06
 1154   93.89   93.89   93.89    1.06
 1164   95.61 -999.00   93.95    1.06
 1174   94.00   94.00   94.00    1.06
 1184   94.07 -999.00   93.89    1.05
 1194   93.78   93.78   93.78    1.06
 1204   93.73   93.73   93.73    1.06
 1214   93.89 -999.00   93.75    1.06
 1224   93.78   93.78   93.78    1.06
 1234   94.00 -999.00   93.87    1.06
 1244   93.97   93.97   93.97    1.07
 1254   93.78   93.78   93.78    1.06
 1264   93.49   93.49   93.49    1.07
 1275   94.02   94.02   94.02    1.06
 1285   94.10 -999.00   93.98    1.06
 1295   93.94   93.94   93.94    1.06
 1305   93.83   93.83   93.83    1.06
 1315   94.02 -999.00   93.74    1.06
 1325   93.65   93.65   93.65    1.06
 1335   93.75   93.75   93.75    1.07
 1345   93.84   93.84   93.84    1.06
 1356   93.87 -999.00   93.84    1.07
 1366   93.84   93.84   93.84    1.06
 1376   95.59 -999.00   93.81    1.05
 1386   93.78   93.78   93.78    1.07
 1396   94.18 -999.00   93.89    1.07
 1407   94.02   94.02   94.02    1.06
 1422   93.76   93.76   93.76    1.06
 1432   93.76   93.76   93.76    1.06
 1442   94.12 -999.00   93.68    1.05
 1452   93.60   93.60   93.60    1.06
 1463   94.12   94.12   94.12    1.07
 1473   94.15   94.15   94.15    1.06
 1483   94.18   94.18   94.18    1.06
 1493   94.52 -999.00   94.13    1.06
 1503   94.08   94.08   94.08    1.06
 1513   94.05   94.05   94.05    1.06
 1523   94.03   94.03   94.03    1.06
 1533   94.03   94.03   94.03    1.06
 1543   94.24   94.24   94.24    1.06
 1553   94.40 -999.00   94.24    1.06
 1563   94.24   94.24   94.24    1.06
 1573   94.31   94.31   94.31    1.06
 1584   95.00 -999.00   94.23    1.08
 1594   94.16   94.16   94.16    1.06
 1604   94.16   94.16   94.16    1.06
 1614   94.48   94.48   94.48    1.07
 1624   94.56 -999.00   94.44    1.06
 1634   94.39   94.39   94.39    1.06
 1644   94.24   94.24   94.24    1.06
 1654   95.09 -999.00   94.35    1.05
 1664   94.45   94.45   94.45    1.05
 1675   94.08   94.08   94.08    1.06
