  Time[s]  W_orig[kg]  W_clean[kg]  W_interp[kg]  Disch[l/s]
    0  100.38  100.38  100.38    0.04
   11   93.25   93.25   93.25    0.03
   21   95.64 -999.00   93.63    0.03
   31   94.02   94.02   94.02    0.22
   41   94.07   94.07   94.07    0.30
   51   94.61 -999.00   94.07    0.38
   61   94.07   94.07   94.07    0.48
   71   94.20   94.20   94.20    0.49
   81   94.48   94.48   94.48    0.57
   91   94.48   94.48   94.48    0.56
  101   94.42   94.42   94.42    0.55
  111   95.37 -999.00   94.48    0.56
  121   94.55   94.55   94.55    0.55
  136   94.82   94.82   94.82    0.68
  147   94.82   94.82   94.82    0.75
  157   94.81   94.81   94.81    0.81
  167   94.82   94.82   94.82    0.87
  177   95.46 -999.00   94.72    0.90
  187   94.61   94.61   94.61    0.89
  197   94.48   94.48   94.48    0.93
  207   94.44   94.44   94.44    0.93
  217   94.45   94.45   94.45    0.93
  227   94.34   94.34   94.34    0.97
  237   94.23   94.23   94.23    1.00
  247   94.37   94.37   94.37    1.00
  257   94.44   94.44   94.44    1.00
  268   94.44   94.44   94.44    1.00
  278   94.42   94.42   94.42    1.00
  288   94.39   94.39   94.39    1.00
  298   94.53   94.53   94.53    1.00
  308   94.61   94.61   94.61    1.06
  318   94.97 -999.00   94.63    1.06
  328   94.65   94.65   94.65    1.06
  338   94.66   94.66   94.66    1.06
  348   94.53   94.53   94.53    1.06
  358   95.27 -999.00   94.59    1.06
  369   94.65   94.65   94.65    1.06
  379   94.98 -999.00   94.65    1.06
  389   94.66   94.66   94.66    1.07
  399   94.56   94.56   94.56    1.06
  409   95.24 -999.00   94.74    1.06
  419   94.92   94.92   94.92    1.06
  429   95.08   95.08   95.08    1.06
  439   95.27 -999.00   95.07    1.06
  450   95.06   95.06   95.06    1.06
  460   95.09   95.09   95.09    1.07
  470   95.09   95.09   95.09    1.06
  480   95.13   95.13   95.13    1.06
  490   95.21   95.21   95.21    1.06
  500   95.38   95.38   95.38    1.06
  510   95.43   95.43   95.43    1.08
  520   95.71 -999.00   95.29    1.08
  530   95.14   95.14   95.14    1.06
  541   95.21   95.21   95.21    1.06
  551   95.19   95.19   95.19    1.07
  561   95.16   95.16   95.16    1.07
  571   95.37   95.37   95.37    1.07
  581   95.29   95.29   95.29    1.07
  591   95.27   95.27   95.27    1.06
  601   95.08   95.08   95.08    1.07
  616   95.08   95.08   95.08    1.06
  627   95.14   95.14   95.14    1.07
  637   95.22   95.22   95.22    1.06
  647   95.37   95.37   95.37    1.07
  658   95.46   95.46   95.46    1.07
  668   95.32   95.32   95.32    1.06
  678   95.53 -999.00   95.30    1.06
  688   95.29   95.29   95.29    1.06
  698   95.51   95.51   95.51    1.07
  708   95.43   95.43   95.43    1.06
  718   95.48   95.48   95.48    1.06
  728   95.48   95.48   95.48    1.06
  738   95.30   95.30   95.30    1.06
  749   95.34   95.34   95.34    1.06
  759   95.40   95.40   95.40    1.06
  769   95.50   95.50   95.50    1.06
  779   97.28 -999.00   95.50    1.07
  789   95.50   95.50   95.50    1.06
  799   95.77 -999.00   95.53    1.06
  809   95.56   95.56   95.56    1.07
  819   95.74 -999.00   95.58    1.06
  830   95.61   95.61   95.61    1.06
  840   95.64   95.64   95.64    1.06
  850   95.62   95.62   95.62    1.06
  860   95.58   95.58   95.58    1.06
  870   95.82 -999.00   95.63    1.08
  880   95.69   95.69   95.69    1.06
  890   95.62   95.62   95.62    1.07
  900   95.66   95.66   95.66    1.07
  910   95.75   95.75   95.75    1.07
  920   95.69   95.69   95.69    1.07
  931   95.67   95.67   95.67    1.06
  941   95.71   95.71   95.71    1.06
  951   97.78 -999.00   95.71    1.07
  961   95.72   95.72   95.72    1.08
  971   95.77   95.77   95.77    1.06
  981   95.72   95.72   95.72    1.06
  991   95.75   95.75   95.75    1.06
 1006   95.90   95.90   95.90    1.07
 1017   95.98   95.98   95.98    1.06
 1027   95.91   95.91   95.91    1.06
 1037   95.87   95.87   95.87    1.07
