  Time[s]  W_orig[kg]  W_clean[kg]  W_interp[kg]  Disch[l/s]
    0   97.46   97.46   97.46    0.04
   14   91.58   91.58   91.58    0.03
   24   92.67   92.67   92.67    0.20
   34   93.38 -999.00   92.78    0.31
   44   92.89   92.89   92.89    0.35
   54   93.33   93.33   93.33    0.42
   64   93.34   93.34   93.34    0.48
   74   93.52   93.52   93.52    0.49
   84   93.41   93.41   93.41    0.49
   94   93.04   93.04   93.04    0.48
  105   93.36 -999.00   93.13    0.49
  115   93.22   93.22   93.22    0.48
  125   93.22   93.22   93.22    0.54
  135   93.25   93.25   93.25    0.65
  145   93.38   93.38   93.38    0.74
  155   93.26   93.26   93.26    0.80
  165   93.01   93.01   93.01    0.87
  175   93.31   93.31   93.31    0.87
  185   93.30   93.30   93.30    0.90
  195   93.46   93.46   93.46    0.93
  205   93.65 -999.00   93.36    0.95
  215   93.26   93.26   93.26    0.96
  225   93.06   93.06   93.06    0.99
  235   93.07   93.07   93.07    0.99
  245   93.01   93.01   93.01    1.00
  255   92.81   92.81   92.81    0.99
  265   92.64   92.64   92.64    1.00
  275   93.31 -999.00   92.79    1.01
  286   92.96   92.96   92.96    1.00
  296   93.86 -999.00   92.97    0.99
  306   92.99   92.99   92.99    1.00
  316   93.26   93.26   93.26    1.00
  326   93.33   93.33   93.33    1.00
  336   93.15   93.15   93.15    1.00
  346   93.14   93.14   93.14    1.00
  356   93.10   93.10   93.10    0.99
  366   93.12   93.12   93.12    1.00
  376   94.73 -999.00   93.22    0.99
  386   93.33   93.33   93.33    0.99
  396   93.20   93.20   93.20    0.99
  407   93.23   93.23   93.23    1.00
  417   93.10   93.10   93.10    1.00
  427   92.99   92.99   92.99    1.00
  437   92.86   92.86   92.86    0.99
  447   93.09   93.09   93.09    1.00
  457   93.01   93.01   93.01    0.99
  467   92.96   92.96   92.96    1.00
  477   93.94 -999.00   92.92    1.01
  487   92.88   92.88   92.88    0.99
  497   92.89   92.89   92.89    1.00
  507   92.97   92.97   92.97    1.00
  517   92.88   92.88   92.88    1.00
  527   93.22   93.22   93.22    0.99
  538   93.31   93.31   93.31    0.99
  548   93.02   93.02   93.02    1.00
  558   92.96   92.96   92.96    1.00
  568   93.30 -999.00   92.99    0.99
  578   93.02   93.02   93.02    1.00
  588   93.25 -999.00   92.94    0.99
  598   92.86   92.86   92.86    1.00
  608   93.04   93.04   93.04    0.99
  618   92.99   92.99   92.99    1.00
  634   92.88   92.88   92.88    1.00
  644   92.85   92.85   92.85    1.00
  654   92.77   92.77   92.77    1.00
  664   93.42 -999.00   92.85    0.99
  674   92.94   92.94   92.94    0.99
  684   92.96   92.96   92.96    1.00
  694   94.89 -999.00   93.07    0.99
  704   93.18   93.18   93.18    0.99
  714   93.12   93.12   93.12    1.00
  724   93.33 -999.00   93.16    0.99
  734   93.20   93.20   93.20    1.00
  744   93.15   93.15   93.15    0.99
  754   93.70 -999.00   93.08    1.01
  764   93.01   93.01   93.01    0.99
  774   93.04   93.04   93.04    0.99
  784   94.55 -999.00   93.04    1.01
  794   93.04   93.04   93.04    0.99
  805   94.53 -999.00   93.08    1.01
  815   93.12   93.12   93.12    1.00
  825   92.93   92.93   92.93    0.99
  835   92.97   92.97   92.97    0.99
  845   92.89   92.89   92.89    1.00
  855   92.80   92.80   92.80    0.99
  865   92.88   92.88   92.88    1.00
  875   92.91   92.91   92.91    0.99
  885   92.69   92.69   92.69    0.99
  895   92.53   92.53   92.53    0.99
  905   92.51   92.51   92.51    0.99
  916   92.53   92.53   92.53    0.99
  926   92.49   92.49   92.49    0.99
  936   93.17 -999.00   92.65    0.99
  946   92.81   92.81   92.81    1.00
  956   92.69   92.69   92.69    1.00
  966   92.75   92.75   92.75    1.00
  976   92.73   92.73   92.73    0.99
  986   92.62   92.62   92.62    1.00
  996   92.64   92.64   92.64    0.99
 1006   92.85   92.85   92.85    0.99
 1016   92.88   92.88   92.88    1.00
 1027   92.86   92.86   92.86    0.99
 1037   92.86   92.86   92.86    0.99
 1047   93.15   93.15   93.15    0.99
 1057   93.86   93.86   93.86    0.99
 1067   94.00   94.00   94.00    1.00
 1077   94.02   94.02   94.02    0.99
 1087   93.99   93.99   93.99    0.99
 1097   93.83   93.83   93.83    0.99
 1107   93.99   93.99   93.99    1.00
 1118   93.87   93.87   93.87    1.00
 1128   93.95   93.95   93.95    0.99
 1138   94.34 -999.00   93.84    0.99
 1148   93.73   93.73   93.73    0.99
 1158   93.70   93.70   93.70    0.99
 1168   93.79   93.79   93.79    0.99
 1178   93.78   93.78   93.78    0.99
 1193   93.83   93.83   93.83    1.00
 1204   93.83   93.83   93.83    0.99
 1214   94.26   94.26   94.26    0.99
 1224   94.26   94.26   94.26    1.01
 1234   93.99   93.99   93.99    0.99
 1244   93.99   93.99   93.99    1.00
 1254   94.03   94.03   94.03    1.00
 1264   93.91   93.91   93.91    1.00
 1275   93.86   93.86   93.86    0.99
 1285   94.05 -999.00   93.87    1.00
 1295   93.89   93.89   93.89    1.00
 1305   94.58 -999.00   93.91    1.05
 1315   93.92   93.92   93.92    1.06
 1325   94.89 -999.00   94.01    1.05
 1335   94.10   94.10   94.10    1.06
 1345   94.12   94.12   94.12    1.06
 1355   94.55 -999.00   94.16    1.05
 1365   94.21   94.21   94.21    1.06
 1375   94.31   94.31   94.31    1.05
 1385   95.18 -999.00   94.23    1.05
 1395   94.15   94.15   94.15    1.06
 1405   93.92   93.92   93.92    1.06
 1416   93.89   93.89   93.89    1.06
 1426   93.89   93.89   93.89    1.06
 1436   94.36   94.36   94.36    1.05
 1446   94.98 -999.00   94.12    1.05
 1456   93.87   93.87   93.87    1.05
 1466   93.84   93.84   93.84    1.05
 1476   94.02   94.02   94.02    1.05
 1486   94.16 -999.00   93.91    1.06
 1496   93.81   93.81   93.81    1.06
 1506   93.78   93.78   93.78    1.06
 1516   94.23 -999.00   93.84    1.05
 1527   93.91   93.91   93.91    1.05
 1537   93.97   93.97   93.97    1.05
 1547   93.86   93.86   93.86    1.06
 1557   93.91   93.91   93.91    1.06
 1567   93.86   93.86   93.86    1.06
 1577   93.71   93.71   93.71    1.06
 1587   93.73   93.73   93.73    1.05
 1597   94.98 -999.00   93.79    1.05
 1607   93.86   93.86   93.86    1.06
 1617   93.81   93.81   93.81    1.06
 1627   96.41 -999.00   94.62    1.06
 1637   95.43   95.43   95.43    1.05
 1647   94.05   94.05   94.05    1.05
 1658   94.20 -999.00   93.92    1.05
 1668   93.79   93.79   93.79    1.06
 1678   94.00   94.00   94.00    1.06
