  Time[s]  W_orig[kg]  W_clean[kg]  W_interp[kg]  Disch[l/s]
    0  102.16  102.16  102.16    0.04
   13   97.02   97.02   97.02    0.05
   24   97.09   97.09   97.09    0.15
   34   97.15   97.15   97.15    0.28
   44   97.49 -999.00   97.17    0.37
   54   97.18   97.18   97.18    0.43
   64   97.18   97.18   97.18    0.49
   74   97.28   97.28   97.28    0.51
   84   97.30   97.30   97.30    0.50
   94   97.66   97.66   97.66    0.50
  104   97.83   97.83   97.83    0.50
  114   97.87 -999.00   97.67    0.55
  124   97.52   97.52   97.52    0.55
  134   97.81   97.81   97.81    0.66
  145   98.11 -999.00   97.58    0.75
  155   97.38   97.38   97.38    0.81
  165   97.41   97.41   97.41    0.87
  175   98.24 -999.00   97.26    0.90
  185   97.10   97.10   97.10    0.94
  195   97.38   97.38   97.38    0.94
  205   99.50 -999.00   97.25    0.93
  215   97.12   97.12   97.12    0.98
  225   99.35 -999.00   97.17    1.00
  235   97.21   97.21   97.21    1.00
  246   97.02   97.02   97.02    1.01
  256   96.94   96.94   96.94    1.01
  266   97.20 -999.00   97.05    1.00
  276   97.17   97.17   97.17    1.00
  286   97.07   97.07   97.07    1.02
  296   96.89   96.89   96.89    1.01
  307   97.34 -999.00   96.94    1.00
  317   96.97   96.97   96.97    1.00
  327   97.23 -999.00   97.01    1.01
  337   97.05   97.05   97.05    1.00
  347   97.04   97.04   97.04    1.02
  357   96.94   96.94   96.94    1.00
  367   96.81   96.81   96.81    1.00
  377   96.83   96.83   96.83    1.00
  387   97.28 -999.00   96.94    1.00
  397   97.05   97.05   97.05    1.01
  407   97.46 -999.00   97.06    1.00
  417   97.07   97.07   97.07    1.00
  427   97.31 -999.00   97.03    1.01
  437   96.99   96.99   96.99    1.01
  447   97.30 -999.00   97.13    1.01
  457   97.28   97.28   97.28    1.00
  467   98.36 -999.00   97.39    1.02
  477   97.50   97.50   97.50    1.01
  487   97.31   97.31   97.31    1.00
  498   97.52 -999.00   97.37    1.00
  508   97.42   97.42   97.42    1.00
  518   97.54 -999.00   97.46    1.00
  528   97.49   97.49   97.49    1.01
  538   97.38   97.38   97.38    1.01
  548  100.33 -999.00   97.31    1.01
  558   97.25   97.25   97.25    1.01
  568  100.46 -999.00   97.26    1.00
  578   97.28   97.28   97.28    1.02
  588   97.60 -999.00   97.22    1.00
  598   97.17   97.17   97.17    1.01
  608   97.12   97.12   97.12    1.00
  618   97.12   97.12   97.12    1.00
  628   97.28 -999.00   97.05    1.00
  638   96.97   96.97   96.97    1.01
  653   97.04   97.04   97.04    1.00
  664   97.21 -999.00   97.06    1.01
  674   97.09   97.09   97.09    1.00
  684   97.28 -999.00   97.13    1.00
  694   97.17   97.17   97.17    1.01
  704   97.23   97.23   97.23    1.00
  714   97.30   97.30   97.30    1.00
  724  100.30 -999.00   97.25    1.01
  734   97.21   97.21   97.21    1.00
  744   97.15   97.15   97.15    1.00
  754   97.17   97.17   97.17    1.01
  764   97.23   97.23   97.23    1.02
  775   97.31   97.31   97.31    1.01
  785   98.42 -999.00   97.27    1.02
  795   97.23   97.23   97.23    1.00
  805   97.63 -999.00   97.13    1.03
  815   97.02   97.02   97.02    1.01
  825   97.05   97.05   97.05    1.00
  835   97.05   97.05   97.05    1.00
  845   97.74 -999.00   97.14    1.03
  855   97.23   97.23   97.23    1.00
  865   97.12   97.12   97.12    1.00
  875   97.17   97.17   97.17    1.00
  885   97.31   97.31   97.31    1.00
  895   97.41 -999.00   97.26    1.01
  905   97.20   97.20   97.20    1.00
  915   97.23   97.23   97.23    1.00
  926   97.42   97.42   97.42    1.00
  936   99.46 -999.00   97.34    1.00
  946   97.26   97.26   97.26    1.00
