  Time[s]  W_orig[kg]  W_clean[kg]  W_interp[kg]  Disch[l/s]
    0   29.90   29.90   29.90   -0.07
   10   28.22   28.22   28.22   -0.08
   21   28.52   28.52   28.52   -0.04
   31   29.07 -999.00   28.70    0.12
   41   28.88   28.88   28.88    0.19
   51   28.94   28.94   28.94    0.31
   61   29.01   29.01   29.01    0.38
   71   28.86   28.86   28.86    0.38
   81   28.97   28.97   28.97    0.38
   91   29.09   29.09   29.09    0.44
  101   29.25   29.25   29.25    0.44
  111   29.13   29.13   29.13    0.44
  121   29.04   29.04   29.04    0.44
  132   29.09   29.09   29.09    0.54
  142   29.07   29.07   29.07    0.64
  152   29.07   29.07   29.07    1.25
  162   28.84   28.84   28.84    0.96
  172   28.64   28.64   28.64    1.71
  182   28.41   28.41   28.41    0.71
  192   28.22   28.22   28.22    1.35
  202   28.25   28.25   28.25    0.24
  212   28.40   28.40   28.40    0.72
  222   28.59   28.59   28.59    1.23
  232   29.28   29.28   29.28    1.08
  243   29.28   29.28   29.28    1.06
  253   29.09   29.09   29.09    0.99
  263   30.15 -999.00   28.76    0.99
  273   28.43   28.43   28.43    0.99
  283   28.46   28.46   28.46    0.99
  293   28.67 -999.00   28.22    0.99
  303   27.98   27.98   27.98    0.99
  313   28.28   28.28   28.28    0.99
  323   29.02 -999.00   28.31    0.99
  333   28.35   28.35   28.35    0.99
  343   28.25   28.25   28.25    0.99
  353   28.17   28.17   28.17    0.99
  363   28.03   28.03   28.03    0.99
  373   28.07   28.07   28.07    0.99
  383   28.09   28.09   28.09    0.99
  393   28.36 -999.00   28.07    0.99
  403   28.06   28.06   28.06    0.99
  413   28.07   28.07   28.07    0.99
  423   28.70   28.70   28.70    0.99
  433   29.70 -999.00   28.59    0.99
  443   28.48   28.48   28.48    0.99
  453   28.20   28.20   28.20    0.99
  463   28.38   28.38   28.38    0.99
  473   28.62 -999.00   28.42    0.99
  483   28.46   28.46   28.46    0.93
  493   28.11   28.11   28.11    0.93
  503   28.27   28.27   28.27    0.93
  514   28.89 -999.00   28.16    0.93
  524   28.06   28.06   28.06    0.93
  534   28.27   28.27   28.27    0.93
  544   28.23   28.23   28.23    0.93
  554   28.14   28.14   28.14    0.93
  564   28.22   28.22   28.22    0.93
  574   28.19   28.19   28.19    0.94
  584   28.33   28.33   28.33    0.99
  594   29.57 -999.00   28.29    0.99
  604   28.25   28.25   28.25    0.99
  614   28.01   28.01   28.01    0.99
  624   28.19 -999.00   28.02    0.99
  634   28.03   28.03   28.03    0.99
  649   28.27   28.27   28.27    0.99
  660   28.59 -999.00   28.24    0.99
  670   28.22   28.22   28.22    0.99
  680   28.01   28.01   28.01    1.00
  690   27.95   27.95   27.95    1.00
  700   28.27   28.27   28.27    0.99
  710   28.30   28.30   28.30    0.99
  720   28.27   28.27   28.27    0.99
  730   28.28   28.28   28.28    0.99
  740   28.11   28.11   28.11    0.99
  750   28.25   28.25   28.25    0.99
  760   28.14   28.14   28.14    0.99
  770   29.68 -999.00   28.15    0.99
  781   28.17   28.17   28.17    0.99
  791   28.27   28.27   28.27    1.00
  801   28.40   28.40   28.40    1.00
  811   28.54 -999.00   28.34    0.99
  821   28.28   28.28   28.28    1.00
  831   28.07   28.07   28.07    0.99
  841   28.06   28.06   28.06    0.99
  851   28.52 -999.00   28.16    1.00
  861   28.27   28.27   28.27    0.99
  871   28.20   28.20   28.20    1.00
  881   28.04   28.04   28.04    0.99
  891   29.23 -999.00   28.07    0.99
  901   28.11   28.11   28.11    0.99
  911   28.07   28.07   28.07    1.00
  921   28.12   28.12   28.12    1.00
  932   28.11   28.11   28.11    1.00
  942   29.60 -999.00   28.07    0.99
  952   28.03   28.03   28.03    0.99
  962   28.27   28.27   28.27    1.00
  972   28.23   28.23   28.23    0.99
  982   27.90   27.90   27.90    1.00
  992   28.19 -999.00   27.97    1.00
 1002   28.04   28.04   28.04    1.00
 1012   28.04   28.04   28.04    1.00
 1022   27.90   27.90   27.90    0.99
 1032   27.90   27.90   27.90    0.99
 1042   27.88   27.88   27.88    0.99
 1052   29.23 -999.00   27.88    0.99
 1062   27.88   27.88   27.88    0.99
 1072   29.39 -999.00   27.89    1.00
 1082   27.90   27.90   27.90    0.99
 1092   27.85   27.85   27.85    0.99
 1103   27.83   27.83   27.83    0.99
 1113   27.88   27.88   27.88    1.00
 1123   28.03   28.03   28.03    1.00
 1133   27.93   27.93   27.93    1.00
 1143   28.73 -999.00   27.87    0.99
 1153   27.82   27.82   27.82    1.00
 1163   27.64   27.64   27.64    1.00
 1173   27.91   27.91   27.91    1.00
 1183   27.96   27.96   27.96    1.00
 1193   27.95   27.95   27.95    1.00
 1203   27.85   27.85   27.85    1.00
 1214   27.78   27.78   27.78    1.00
 1224   28.30 -999.00   27.91    1.00
 1234   28.04   28.04   28.04    1.00
 1244   27.77   27.77   27.77    0.99
 1254   27.88   27.88   27.88    1.00
 1264   27.82   27.82   27.82    1.00
 1274   27.82   27.82   27.82    0.93
 1284   28.43 -999.00   27.89    0.93
 1299   28.01   28.01   28.01    0.93
 1310   28.44 -999.00   28.02    0.93
 1320   28.03   28.03   28.03    0.93
 1330   27.78   27.78   27.78    0.93
 1340   27.77   27.77   27.77    0.93
 1350   27.95   27.95   27.95    0.93
 1360   27.87   27.87   27.87    0.93
 1371   27.93   27.93   27.93    0.93
 1381   27.90   27.90   27.90    0.93
 1391   27.96   27.96   27.96    0.93
 1401   27.90   27.90   27.90    0.94
 1411   27.95   27.95   27.95    0.93
 1421   27.95   27.95   27.95    0.93
 1431   27.93   27.93   27.93    0.93
 1441   27.93   27.93   27.93    0.93
 1452   27.78   27.78   27.78    0.93
 1462   27.75   27.75   27.75    0.93
 1472   27.93   27.93   27.93    0.93
 1482   27.95   27.95   27.95    0.93
 1492   27.78   27.78   27.78    0.93
 1502   27.80   27.80   27.80    0.94
 1512   28.51   28.51   28.51    0.93
 1522   28.48   28.48   28.48    0.93
 1532   27.80   27.80   27.80    0.93
 1542   27.87   27.87   27.87    1.00
 1553   27.96   27.96   27.96    1.00
 1563   27.72   27.72   27.72    1.00
 1573   27.87   27.87   27.87    1.00
 1583   27.85   27.85   27.85    1.00
 1593   27.87   27.87   27.87    1.00
 1603   27.74   27.74   27.74    1.00
 1613   28.43 -999.00   27.78    1.00
 1623   27.83   27.83   27.83    1.00
 1633   27.72   27.72   27.72    1.00
 1643   27.88   27.88   27.88    1.00
 1653   27.87   27.87   27.87    1.00
 1663   27.62   27.62   27.62    0.99
 1673   27.61   27.61   27.61    1.00
 1683   28.11 -999.00   27.62    1.00
 1693   27.62   27.62   27.62    1.00
 1703   27.62   27.62   27.62    1.00
 1713   27.83   27.83   27.83    1.00
 1723   27.72   27.72   27.72    1.00
 1733   27.61   27.61   27.61    1.00
 1744   27.70   27.70   27.70    1.00
 1754   27.59   27.59   27.59    1.00
 1764   27.61   27.61   27.61    1.00
 1774   27.59   27.59   27.59    1.00
 1784   27.62   27.62   27.62    1.00
 1794   27.61   27.61   27.61    1.00
 1804   27.61   27.61   27.61    1.00
 1819   27.58   27.58   27.58    1.00
 1830   28.01   28.01   28.01    1.00
 1840   28.17 -999.00   27.79    1.00
 1850   27.58   27.58   27.58    1.00
 1860   28.44 -999.00   27.62    1.00
 1870   27.66   27.66   27.66    1.00
 1880   27.58   27.58   27.58    1.00
 1890   27.54   27.54   27.54    1.00
 1900   27.72   27.72   27.72    1.00
 1910   27.70   27.70   27.70    1.00
 1920   27.67   27.67   27.67    1.00
 1930   28.72 -999.00   27.67    1.00
 1940   27.67   27.67   27.67    1.00
 1950   27.70   27.70   27.70    1.00
 1961   27.53   27.53   27.53    1.00
 1971   27.51   27.51   27.51    1.00
 1981   27.51   27.51   27.51    1.00
 1991   27.78 -999.00   27.51    1.00
 2001   27.51   27.51   27.51    1.00
 2011   27.53   27.53   27.53    1.00
 2021   27.66   27.66   27.66    1.00
 2031   27.51   27.51   27.51    1.00
 2041   27.61   27.61   27.61    1.00
 2051   27.50   27.50   27.50    1.00
 2061   28.36 -999.00   27.50    1.00
 2071   27.51   27.51   27.51    1.00
 2081   27.61   27.61   27.61    1.00
 2091   28.46 -999.00   27.58    1.00
 2101   27.54   27.54   27.54    1.00
 2112   27.62   27.62   27.62    1.00
 2122   27.51   27.51   27.51    1.00
 2132   27.61   27.61   27.61    1.00
 2142   27.48   27.48   27.48    1.00
 2152   27.64   27.64   27.64    1.00
 2162   27.85 -999.00   27.59    1.00
 2172   27.54   27.54   27.54    1.00
 2182   27.50   27.50   27.50    1.00
 2192   27.48   27.48   27.48    1.00
 2202   29.13 -999.00   27.58    1.00
 2212   27.69   27.69   27.69    1.00
 2222   27.50   27.50   27.50    1.00
 2232   27.48   27.48   27.48    1.00
 2243   27.62   27.62   27.62    1.00
 2253   27.62   27.62   27.62    1.00
 2263   27.48   27.48   27.48    1.00
 2273   27.59   27.59   27.59    1.00
